transaction_id,customer_id,timestamp,transaction_type,amount,fraud_flag,hour_of_day,day_of_week,is_weekend
1033,2/16/2021Crypto,,Buy,43.0,1829.07,413311.0,78650.01,187.51
1034,2/17/2021Stock,,Sell,752.0,1737.36,413312.0,1306494.72,5360.83
1035,2/18/2021FX,,Buy,971.0,425.16,413313.0,412830.36,1967.12
1036,2/19/2021Derivative,,Sell,883.0,2197.79,413314.0,1940648.57,2502.79
1037,2/22/2021FX,,Sell,111.0,1243.6,413315.0,138039.6,433.03
1038,2/23/2021Derivative,,Buy,761.0,1856.24,413316.0,1412598.64,6399.26
1039,2/24/2021Stock,,Sell,663.0,1437.15,413317.0,952830.45,1267.3
1041,2/26/2021Crypto,,Sell,848.0,1883.48,413318.0,1597191.04,3883.1
1042,3/1/2021Stock,,Sell,95.0,1770.38,413319.0,168186.1,384.87
1043,3/2/2021Crypto,,Buy,971.0,1948.64,413320.0,1892129.44,9290.1
1044,3/3/2021Bond,,Buy,374.0,366.39,413321.0,137029.86,247.12
1045,3/4/2021Bond,,Buy,912.0,519.32,413322.0,473619.84,1786.86
1046,3/5/2021Stock,,Sell,520.0,1788.02,413323.0,929770.4,3984.78
1047,3/8/2021Bond,,Buy,900.0,1240.01,413324.0,1116009,1299.85
1048,3/9/2021Derivative,,Sell,360.0,1889.04,413325.0,680054.4,2503.65
1049,3/10/2021Bond,,Sell,900.0,266.26,413326.0,239634,1151.73
1050,3/11/2021Crypto,,Buy,696.0,1345.84,413327.0,936704.64,1402.13
1051,3/12/2021Crypto,,Buy,281.0,953.27,413328.0,267868.87,1228.15
1052,3/15/2021Crypto,,Sell,195.0,1147.93,413329.0,223846.35,756.4
1053,3/16/2021Crypto,,Sell,864.0,1513.86,413330.0,1307975.04,4533.99
1054,3/17/2021Derivative,,Buy,195.0,1260.7,413331.0,245836.5,848.57
1055,3/18/2021FX,,Buy,667.0,1354.25,413332.0,903284.75,1983.02
1056,3/19/2021Stock,,Buy,93.0,1221.03,413333.0,113555.79,538.35
1057,3/22/2021Crypto,,Buy,672.0,1028.3,413334.0,691017.6,3309.56
1058,3/23/2021Bond,,Buy,946.0,1931.99,413335.0,1827662.54,6399.05
1059,3/24/2021Crypto,,Sell,61.0,40.39,413336.0,2463.79,10.18
1060,3/25/2021Bond,,Sell,634.0,1500.12,413337.0,951076.08,3280.29
1061,3/26/2021Bond,,Sell,51.0,1418.12,413338.0,72324.12,212.46
1062,3/29/2021Crypto,,Sell,403.0,1793.29,413339.0,722695.87,2632.98
1063,3/30/2021Derivative,,Buy,789.0,1501.58,413340.0,1184746.62,3805.41
1064,3/31/2021Bond,,Buy,5.0,2068.73,413341.0,10343.65,35.06
1065,4/1/2021Bond,,Buy,466.0,2398.1,413342.0,1117514.6,4621.29
1066,4/2/2021Crypto,,Sell,604.0,862.89,413343.0,521185.56,1523.75
1067,4/5/2021Bond,,Sell,682.0,576.1,413344.0,392900.2,456.95
1068,4/6/2021Bond,,Buy,829.0,1064.76,413345.0,882686.04,1461.73
1069,4/7/2021Crypto,,Buy,534.0,726.94,413346.0,388185.96,1069.23
1070,4/8/2021Crypto,,Sell,405.0,1541.23,413347.0,624198.15,2433.94
1071,4/9/2021Stock,,Sell,838.0,2280.51,413348.0,1911067.38,6446.25
1072,4/12/2021Derivative,,Buy,513.0,356.4,413349.0,182833.2,658.41
1073,4/13/2021Derivative,,Buy,645.0,260.98,413350.0,168332.1,491.04
1074,4/14/2021Bond,,Sell,233.0,647.48,413351.0,150862.84,522.43
1075,4/15/2021Derivative,,Buy,524.0,1817.98,413352.0,952621.52,2206.34
1076,4/16/2021Bond,,Buy,346.0,1486.48,413353.0,514322.08,1481.62
1077,4/19/2021Stock,,Buy,46.0,264.51,413354.0,12167.46,48.39
1078,4/20/2021Crypto,,Sell,546.0,2297.69,413355.0,1254538.74,5629.53
1079,4/21/2021Crypto,,Sell,945.0,1977.31,413356.0,1868557.95,5109.8
1081,4/23/2021Derivative,,Sell,730.0,1631.9,413357.0,1191287,1961.68
1082,4/26/2021Stock,,Sell,813.0,1930.4,413358.0,1569415.2,1700.37
1083,4/27/2021Derivative,,Sell,923.0,942.34,413359.0,869779.82,3142.56
1084,4/28/2021Derivative,,Sell,73.0,181.61,413360.0,13257.53,30.88
1085,4/29/2021Stock,,Buy,794.0,202.53,413361.0,160808.82,509.75
1086,4/30/2021Stock,,Buy,249.0,269.57,413362.0,67122.93,199.56
1087,5/3/2021Stock,,Buy,47.0,2102.69,413363.0,98826.43,131.05
1088,5/4/2021Stock,,Buy,121.0,2277.61,413364.0,275590.81,720.13
1089,5/5/2021Crypto,,Buy,214.0,315.8,413365.0,67581.2,127.2
1090,5/6/2021FX,,Buy,239.0,597.41,413366.0,142780.99,381.74
1091,5/7/2021FX,,Buy,56.0,422.15,413367.0,23640.4,42.89
1092,5/10/2021Stock,,Sell,350.0,473.94,413368.0,165879,723.53
1093,5/11/2021FX,,Sell,107.0,2095.35,413369.0,224202.45,380.42
1094,5/12/2021FX,,Buy,831.0,837.04,413370.0,695580.24,3368.78
1095,5/13/2021Stock,,Buy,48.0,785.5,413371.0,37704,100.43
1096,5/14/2021FX,,Sell,573.0,576.22,413372.0,330174.06,1447.81
1097,5/17/2021Derivative,,Buy,337.0,1523.66,413373.0,513473.42,1804.89
1098,5/18/2021Bond,,Buy,26.0,954.47,413374.0,24816.22,97.81
1099,5/19/2021Bond,,Sell,804.0,1863.18,413375.0,1497996.72,6098.19
1100,5/20/2021Stock,,Buy,257.0,521.89,413376.0,134125.73,404.98
1101,5/21/2021Crypto,,Sell,8.0,1971.6,413377.0,15772.8,50.05
1102,5/24/2021Stock,,Buy,625.0,1513.27,413378.0,945793.75,2890.33
1103,5/25/2021Crypto,,Sell,867.0,294.53,413379.0,255357.51,856.02
1104,5/26/2021Bond,,Sell,253.0,1042.12,413380.0,263656.36,294.66
1105,5/27/2021Stock,,Sell,692.0,2160.16,413381.0,1494830.72,3859.74
1106,5/28/2021Derivative,,Buy,719.0,2308.17,413382.0,1659574.23,5683.63
1107,5/31/2021FX,,Sell,303.0,1169.59,413383.0,354385.77,1201.68
1108,6/1/2021Crypto,,Buy,639.0,1207.28,413384.0,771451.92,3218.36
1109,6/2/2021FX,,Buy,56.0,2296.95,413385.0,128629.2,465.64
1110,6/3/2021FX,,Buy,726.0,1471.8,413386.0,1068526.8,5309.01
1111,6/4/2021Stock,,Buy,526.0,91.79,413387.0,48281.54,103.1
1112,6/7/2021FX,,Sell,474.0,2282.75,413388.0,1082023.5,2636.46
1113,6/8/2021Derivative,,Sell,28.0,628.08,413389.0,17586.24,44.59
1114,6/9/2021FX,,Buy,983.0,1448.3,413390.0,1423678.9,4076.35
1115,6/10/2021Stock,,Buy,78.0,422.13,413391.0,32926.14,143.03
1116,6/11/2021Derivative,,Sell,216.0,94.36,413392.0,20381.76,39.61
1117,6/14/2021Bond,,Buy,386.0,785.57,413393.0,303230.02,1244.46
1118,6/15/2021FX,,Sell,365.0,1953.43,413394.0,713001.95,1868.95
1119,6/16/2021Stock,,Buy,666.0,701.19,413395.0,466992.54,1591.24
1121,6/18/2021Bond,,Sell,699.0,539.58,413396.0,377166.42,939.67
1122,6/21/2021Crypto,,Buy,312.0,1292.78,413397.0,403347.36,1230.4
1123,6/22/2021Derivative,,Sell,883.0,2439.1,413398.0,2153725.3,5711.95
1124,6/23/2021FX,,Buy,7.0,1152.88,413399.0,8070.16,10.3
1125,6/24/2021Stock,,Buy,3.0,1397.69,413400.0,4193.07,11.53
1126,6/25/2021Crypto,,Buy,623.0,2152.97,413401.0,1341300.31,1863.84
1127,6/28/2021Derivative,,Sell,919.0,1342.32,413402.0,1233592.08,3232.11
1128,6/29/2021Crypto,,Buy,750.0,469.31,413403.0,351982.5,1186.77
1129,6/30/2021Derivative,,Buy,363.0,755.99,413404.0,274424.37,910.45
1130,7/1/2021Derivative,,Buy,751.0,781.74,413405.0,587086.74,2143.15
1131,7/2/2021FX,,Buy,508.0,999.32,413406.0,507654.56,701.09
1132,7/5/2021Derivative,,Sell,274.0,1072.7,413407.0,293919.8,1060.61
1133,7/6/2021Crypto,,Sell,506.0,2001.46,413408.0,1012738.76,2277.24
1134,7/7/2021Derivative,,Buy,806.0,879.97,413409.0,709255.82,1841.36
1135,7/8/2021FX,,Sell,739.0,1175.9,413410.0,868990.1,3851.32
1136,7/9/2021FX,,Buy,883.0,1566.19,413411.0,1382945.77,1432.9
1137,7/12/2021Crypto,,Buy,15.0,950.54,413412.0,14258.1,47.82
1138,7/13/2021Bond,,Buy,192.0,2093.05,413413.0,401865.6,1364.28
1139,7/14/2021Bond,,Sell,985.0,1472.76,413414.0,1450668.6,3752.36
1140,7/15/2021Derivative,,Sell,631.0,742.17,413415.0,468309.27,912.32
1141,7/16/2021Stock,,Sell,485.0,1788.01,413416.0,867184.85,1681.21
1142,7/19/2021Derivative,,Sell,28.0,1323.84,413417.0,37067.52,168.1
1143,7/20/2021Crypto,,Sell,714.0,1340.8,413418.0,957331.2,2649.99
1144,7/21/2021Crypto,,Sell,39.0,1207.91,413419.0,47108.49,109.46
1145,7/22/2021Crypto,,Sell,953.0,1247.56,413420.0,1188924.68,3323.18
1146,7/23/2021Crypto,,Sell,273.0,1915.74,413421.0,522997.02,1923.35
1147,7/26/2021Crypto,,Sell,231.0,266.42,413422.0,61543.02,97.42
1148,7/27/2021FX,,Buy,86.0,842.56,413423.0,72460.16,202.72
1149,7/28/2021Bond,,Sell,474.0,198.0,413424.0,93852,314.55
1150,7/29/2021Crypto,,Sell,126.0,1885.58,413425.0,237583.08,1139.05
1151,7/30/2021Stock,,Sell,812.0,688.03,413426.0,558680.36,1123.01
1152,8/2/2021Stock,,Sell,537.0,2244.6,413427.0,1205350.2,2937.44
1153,8/3/2021Stock,,Sell,145.0,1321.18,413428.0,191571.1,482.27
1154,8/4/2021Stock,,Sell,525.0,2003.87,413429.0,1052031.75,3600.21
1155,8/5/2021FX,,Sell,212.0,2447.54,413430.0,518878.48,1259.28
1156,8/6/2021Stock,,Sell,25.0,2101.07,413431.0,52526.75,164.62
1157,8/9/2021Crypto,,Sell,580.0,2168.81,413432.0,1257909.8,5191.6
1158,8/10/2021Derivative,,Sell,394.0,1025.88,413433.0,404196.72,1544.65
1159,8/11/2021Stock,,Sell,67.0,1383.79,413434.0,92713.93,258.25
1161,8/13/2021FX,,Buy,109.0,498.32,413435.0,54316.88,175.58
1162,8/16/2021Stock,,Sell,146.0,1268.71,413436.0,185231.66,585.26
1163,8/17/2021Derivative,,Sell,111.0,1491.67,413437.0,165575.37,188.22
1164,8/18/2021Stock,,Buy,228.0,854.79,413438.0,194892.12,964.09
1165,8/19/2021FX,,Sell,111.0,1427.91,413439.0,158498.01,236.46
1166,8/20/2021Bond,,Buy,470.0,2219.78,413440.0,1043296.6,2007.85
1167,8/23/2021Crypto,,Buy,34.0,1396.24,413441.0,47472.16,57.29
1168,8/24/2021FX,,Buy,623.0,1804.82,413442.0,1124402.86,4002.89
1169,8/25/2021Stock,,Buy,776.0,2015.23,413443.0,1563818.48,2969.39
1170,8/26/2021Crypto,,Buy,936.0,2471.93,413444.0,2313726.48,3979.71
1171,8/27/2021Stock,,Sell,369.0,1511.96,413445.0,557913.24,755.54
1172,8/30/2021Stock,,Buy,748.0,2019.06,413446.0,1510256.88,2134.35
1173,8/31/2021Bond,,Sell,595.0,2407.0,413447.0,1432165,4781.54
1174,9/1/2021Crypto,,Sell,554.0,2361.58,413448.0,1308315.32,4909.89
1175,9/2/2021Crypto,,Buy,425.0,361.29,413449.0,153548.25,397.62
1176,9/3/2021Bond,,Buy,613.0,1021.92,413450.0,626436.96,1828.94
1177,9/6/2021FX,,Sell,518.0,816.74,413451.0,423071.32,1583.92
1178,9/7/2021Stock,,Buy,692.0,226.44,413452.0,156696.48,167.59
1179,9/8/2021Derivative,,Buy,282.0,1586.77,413453.0,447469.14,1025.83
1180,9/9/2021Stock,,Sell,320.0,1842.4,413454.0,589568,2884.4
1181,9/10/2021Stock,,Sell,738.0,2121.84,413455.0,1565917.92,5199.55
1182,9/13/2021FX,,Buy,443.0,315.71,413456.0,139859.53,282.08
1183,9/14/2021Stock,,Sell,952.0,2192.35,413457.0,2087117.2,6442.76
1184,9/15/2021Bond,,Buy,315.0,1610.88,413458.0,507427.2,1202.91
1185,9/16/2021Bond,,Buy,877.0,1762.83,413459.0,1546001.91,4837.41
1186,9/17/2021Crypto,,Buy,966.0,2277.45,413460.0,2200016.7,3306.55
1187,9/20/2021Derivative,,Sell,741.0,1565.66,413461.0,1160154.06,1776.03
1188,9/21/2021Stock,,Sell,377.0,846.31,413462.0,319058.87,502.25
1189,9/22/2021Stock,,Sell,289.0,2064.52,413463.0,596646.28,2839.61
1190,9/23/2021FX,,Sell,437.0,914.02,413464.0,399426.74,1570.38
1191,9/24/2021Bond,,Sell,662.0,95.23,413465.0,63042.26,103.99
1192,9/27/2021Derivative,,Buy,277.0,2078.33,413466.0,575697.41,1009.43
1193,9/28/2021Crypto,,Buy,710.0,869.53,413467.0,617366.3,2422.12
1194,9/29/2021Bond,,Buy,582.0,1936.85,413468.0,1127246.7,1831.39
1195,9/30/2021Crypto,,Buy,503.0,913.27,413469.0,459374.81,890.38
1196,10/1/2021FX,,Sell,624.0,2154.06,413470.0,1344133.44,6523.6
1197,10/4/2021FX,,Buy,516.0,556.58,413471.0,287195.28,580.49
1198,10/5/2021Stock,,Sell,350.0,2436.62,413472.0,852817,3109.82
1199,10/6/2021Derivative,,Buy,843.0,1951.6,413473.0,1645198.8,8085.37
1201,10/8/2021Bond,,Sell,830.0,1418.78,413474.0,1177587.4,1260.09
1202,10/11/2021FX,,Buy,350.0,2463.56,413475.0,862246,1704.31
1203,10/12/2021Stock,,Buy,607.0,1182.95,413476.0,718050.65,3104.5
1204,10/13/2021Stock,,Buy,664.0,463.45,413477.0,307730.8,1372.0
1205,10/14/2021Crypto,,Buy,823.0,1217.1,413478.0,1001673.3,4080.89
1206,10/15/2021FX,,Sell,137.0,1286.02,413479.0,176184.74,255.9
1207,10/18/2021Derivative,,Buy,759.0,1856.8,413480.0,1409311.2,5893.8
1208,10/19/2021FX,,Buy,899.0,1750.13,413481.0,1573366.87,7355.04
1209,10/20/2021Crypto,,Sell,243.0,1012.35,413482.0,246001.05,837.0
1210,10/21/2021Crypto,,Buy,543.0,552.88,413483.0,300213.84,1430.07
1211,10/22/2021FX,,Buy,40.0,1616.18,413484.0,64647.2,278.46
1212,10/25/2021Crypto,,Buy,229.0,1060.04,413485.0,242749.16,890.38
1213,10/26/2021FX,,Buy,548.0,339.37,413486.0,185974.76,615.34
1214,10/27/2021Bond,,Buy,920.0,2252.43,413487.0,2072235.6,4961.54
1215,10/28/2021FX,,Sell,223.0,1731.14,413488.0,386044.22,632.01
1216,10/29/2021FX,,Buy,6.0,1711.13,413489.0,10266.78,35.11
1217,11/1/2021Crypto,,Buy,322.0,2058.23,413490.0,662750.06,1506.06
1218,11/2/2021Crypto,,Buy,468.0,1328.86,413491.0,621906.48,2777.28
1219,11/3/2021Stock,,Buy,732.0,2039.49,413492.0,1492906.68,7424.74
1220,11/4/2021Stock,,Buy,75.0,1250.25,413493.0,93768.75,375.99
1221,11/5/2021Bond,,Sell,4.0,177.27,413494.0,709.08,0.97
1222,11/8/2021Stock,,Buy,847.0,1019.07,413495.0,863152.29,1859.87
1223,11/9/2021FX,,Sell,646.0,1248.69,413496.0,806653.74,1158.71
1224,11/10/2021Crypto,,Sell,118.0,1803.3,413497.0,212789.4,766.48
1225,11/11/2021Stock,,Buy,881.0,275.38,413498.0,242609.78,985.18
1226,11/12/2021Stock,,Buy,606.0,358.65,413499.0,217341.9,1022.09
1227,11/15/2021Bond,,Buy,504.0,666.57,413500.0,335951.28,924.77
1228,11/16/2021Bond,,Buy,998.0,673.58,413501.0,672232.84,3095.97
1229,11/17/2021FX,,Sell,947.0,1833.14,413502.0,1735983.58,7832.0
1230,11/18/2021Crypto,,Buy,574.0,634.32,413503.0,364099.68,826.06
1231,11/19/2021Bond,,Buy,441.0,1586.41,413504.0,699606.81,3131.16
1232,11/22/2021Stock,,Buy,194.0,1240.74,413505.0,240703.56,602.41
1233,11/23/2021Crypto,,Buy,847.0,1437.5,413506.0,1217562.5,2663.39
1234,11/24/2021Crypto,,Buy,715.0,2096.89,413507.0,1499276.35,5391.85
1235,11/25/2021Stock,,Buy,392.0,1016.91,413508.0,398628.72,922.24
1236,11/26/2021Bond,,Sell,26.0,1929.57,413509.0,50168.82,176.64
1237,11/29/2021Stock,,Sell,435.0,1060.87,413510.0,461478.45,1587.18
1238,11/30/2021Crypto,,Buy,173.0,891.14,413511.0,154167.22,501.62
1239,12/1/2021Derivative,,Buy,300.0,2396.98,413512.0,719094,1813.32
1241,12/3/2021FX,,Sell,326.0,234.94,413513.0,76590.44,259.33
1242,12/6/2021Stock,,Buy,410.0,1929.75,413514.0,791197.5,2518.18
1243,12/7/2021Stock,,Sell,118.0,179.94,413515.0,21232.92,58.98
1244,12/8/2021FX,,Buy,836.0,2094.33,413516.0,1750859.88,1853.58
1245,12/9/2021FX,,Buy,787.0,1098.61,413517.0,864606.07,2894.91
1246,12/10/2021FX,,Buy,724.0,2289.63,413518.0,1657692.12,2774.61
1247,12/13/2021Crypto,,Buy,225.0,1806.62,413519.0,406489.5,1451.29
1248,12/14/2021Stock,,Sell,532.0,1529.91,413520.0,813912.12,3286.07
1249,12/15/2021Crypto,,Sell,113.0,2373.77,413521.0,268236.01,805.19
1250,12/16/2021FX,,Buy,140.0,997.66,413522.0,139672.4,442.69
1251,12/17/2021Stock,,Buy,559.0,2385.68,413523.0,1333595.12,6409.14
1252,12/20/2021Crypto,,Sell,1.0,346.15,413524.0,346.15,1.52
1253,12/21/2021Crypto,,Sell,90.0,1214.55,413525.0,109309.5,509.05
1254,12/22/2021FX,,Sell,654.0,682.08,413526.0,446080.32,1898.1
1255,12/23/2021Stock,,Sell,320.0,1354.21,413527.0,433347.2,622.15
1256,12/24/2021FX,,Buy,550.0,413.41,413528.0,227375.5,362.88
1257,12/27/2021Stock,,Sell,805.0,2105.41,413529.0,1694855.05,5265.06
1258,12/28/2021Derivative,,Buy,894.0,2117.56,413530.0,1893098.64,3756.44
1259,12/29/2021Bond,,Sell,139.0,2388.54,413531.0,332007.06,965.07
1260,12/30/2021Bond,,Sell,511.0,395.13,413532.0,201911.43,520.42
1261,12/31/2021Bond,,Sell,868.0,1562.1,413533.0,1355902.8,4335.71
1262,1/3/2022FX,,Sell,845.0,1190.85,413534.0,1006268.25,4012.5
1263,1/4/2022Derivative,,Sell,259.0,867.52,413535.0,224687.68,867.74
1240,12/2/2021Derivative,,Buy,645.0,469.08,413536.0,302556.6,966.37
1264,1/5/2022Stock,,Buy,673.0,885.34,413537.0,595833.82,1838.11
1265,1/6/2022Crypto,,Buy,902.0,1037.86,413538.0,936149.72,4015.68
1266,1/7/2022Stock,,Sell,690.0,1765.26,413539.0,1218029.4,3317.24
1267,1/10/2022Crypto,,Sell,10.0,1499.73,413540.0,14997.3,68.79
1268,1/11/2022Stock,,Buy,261.0,1154.61,413541.0,301353.21,387.28
1269,1/12/2022Derivative,,Sell,919.0,199.07,413542.0,182945.33,881.55
1270,1/13/2022Crypto,,Sell,650.0,203.64,413543.0,132366,479.0
1271,1/14/2022FX,,Buy,172.0,15.83,413544.0,2722.76,6.86
1272,1/17/2022Stock,,Sell,898.0,2419.57,413545.0,2172773.86,3886.26
1273,1/18/2022Stock,,Sell,13.0,23.08,413546.0,300.04,0.88
1274,1/19/2022Crypto,,Buy,168.0,266.7,413547.0,44805.6,79.67
1275,1/20/2022FX,,Buy,642.0,793.35,413548.0,509330.7,848.2
1276,1/21/2022FX,,Buy,596.0,2020.5,413549.0,1204218,4177.92
1277,1/24/2022Derivative,,Sell,321.0,2405.63,413550.0,772207.23,2387.93
1278,1/25/2022FX,,Buy,319.0,1977.13,413551.0,630704.47,2321.23
1279,1/26/2022FX,,Buy,613.0,1729.49,413552.0,1060177.37,5002.37
1280,1/27/2022FX,,Buy,329.0,1308.04,413553.0,430345.16,1346.57
1281,1/28/2022Bond,,Buy,785.0,225.9,413554.0,177331.5,589.4
1282,1/31/2022Derivative,,Buy,777.0,2395.85,413555.0,1861575.45,2528.96
1283,2/1/2022Stock,,Buy,971.0,1898.4,413556.0,1843346.4,7134.75
1284,2/2/2022Crypto,,Sell,911.0,1600.98,413557.0,1458492.78,3791.53
1285,2/3/2022Stock,,Sell,920.0,1900.0,413558.0,1748000,8577.26
1286,2/4/2022Derivative,,Buy,550.0,1813.02,413559.0,997161,4280.51
1287,2/7/2022Crypto,,Buy,419.0,1596.71,413560.0,669021.49,2067.23
1288,2/8/2022Derivative,,Buy,606.0,2451.64,413561.0,1485693.84,2217.98
1289,2/9/2022FX,,Sell,95.0,2259.38,413562.0,214641.1,952.5
1290,2/10/2022Crypto,,Sell,817.0,1620.2,413563.0,1323703.4,5558.4
1291,2/11/2022FX,,Sell,581.0,1736.01,413564.0,1008621.81,1753.33
1292,2/14/2022Stock,,Sell,318.0,138.47,413565.0,44033.46,96.04
1293,2/15/2022Stock,,Sell,956.0,1678.09,413566.0,1604254.04,6695.56
1294,2/16/2022Crypto,,Sell,236.0,119.97,413567.0,28312.92,49.29
1295,2/17/2022Crypto,,Sell,946.0,1474.78,413568.0,1395141.88,6516.72
1296,2/18/2022Derivative,,Sell,334.0,2498.39,413569.0,834462.26,2251.47
1297,2/21/2022Derivative,,Sell,885.0,1393.96,413570.0,1233654.6,1663.16
1298,2/22/2022FX,,Buy,376.0,1188.29,413571.0,446797.04,1904.69
1299,2/23/2022Crypto,,Buy,459.0,789.01,413572.0,362155.59,903.23
1300,2/24/2022Stock,,Buy,137.0,310.1,413573.0,42483.7,131.95
